bibkey,ss_id,all_ss_ids,comment
Brak01,e7aa02db15ac1c46249be1231b3fa693792844a6,,single doi match
Brak99,b301e9c53ffbfa0df00feed1b50c6438d16c0c08,,single doi match
Brak99b,e08c326631cc5359840d77beb1de4f6927a30390,,single doi match
Bran11,aaa9f7fc2e216f4f0ce40ef000d1ac9ed3a991e9,,single doi match
Brec12,0257287f6628466cb01815358a9955962faf43af,,single doi match
Breu14,7e2cc3c4c648d38b74c4fe802672198067ddebf7,,single doi match
Bria13,3679f6f835dac7059cf470c5251b6e7f3e748359,,single doi match
Bria16a,2af2d2173999744b98665922265bb69a8bccf6ef,,single doi match
Bria16b,3e8abcfa3851f8cbb06dacc2a7ea96305d0714e9,,single doi match
Bria18,3f632517cafc2e8159b1c4c0c6f5375248dfe8db,,single doi match
Brui02,1c04dc70e53afab5482a7adef2ddc5f707383deb,,single doi match
Brui03b,00559146cc1276c6c98401e2aa35e591ebccca76,,single doi match
Brui04,c6736d66d1088989faf12ba082dae19132baed4d,,single doi match
Brun11,4304be3b3a04f1effbd488d408c812fcb8c44358,,single doi match
Brun12,3d346a616566ceafe3a09acdd4831df76c408b33,,single doi match
Bult18,add18010e1af63998bae7573f4cd5d2843eeb5bb,,single doi match
Bult19,d5b8fba71671814445de80d36a2d563f43eb9d07,"['b0cc9473a96dcd45dd1c7de2d7d217c2a453a850', 'd5b8fba71671814445de80d36a2d563f43eb9d07']","multiple doi matches ['b0cc9473a96dcd45dd1c7de2d7d217c2a453a850', 'd5b8fba71671814445de80d36a2d563f43eb9d07'], took the first one with most citations"
Bult20,39a52867ea3d60ec4f28182e0e618b762d3d7909,"['39a52867ea3d60ec4f28182e0e618b762d3d7909', 'c310babca20446de2ee7d8857abe239e0fe261a0']","multiple doi matches ['39a52867ea3d60ec4f28182e0e618b762d3d7909', 'c310babca20446de2ee7d8857abe239e0fe261a0'], took the first one with most citations"
Bult20a,06bcda243a29be0892422c60b663f80cff21978a,,single doi match
Bult22,551a32d6bb196127b75d256e8547b81ef67a7ad3,,single doi match
Caba18a,26b1aec641be34aa1a7a57362b04bd187ee75aa2,,single doi match
Call19,58662a2da377ad2a9b250b514128988009a2a0b3,,single doi match
Call21,58f03af16be931f9a56c8499ed30efbb9b9c3592,,single doi match
Call21a,6cc01a49101001e1a490645e941b3d2311dd4265,,single doi match
Call22,e6376c22784f8360aa3d054fbfecb113265c032a,,single doi match
Call22a,5cf064abf52e73426c32a6c4725f0de26e0c1c5a,,single doi match
Char15,4db42d98f611269628eb8ddc4171c4a5f412506a,,single doi match
Char16c,d884880febbc8e6c5f86c1040c009174632569c4,,single doi match
